thread;max threads;time;N;M;steps
1;10;4.105771;100;100;100
7;10;4.101599;100;100;100
6;10;4.114198;100;100;100
9;10;4.112490;100;100;100
8;10;4.125710;100;100;100
5;10;4.155366;100;100;100
4;10;4.155799;100;100;100
3;10;4.156052;100;100;100
2;10;4.159101;100;100;100
0;10;4.161384;100;100;100
1;10;40.908786;100;100;1000
3;10;40.974847;100;100;1000
5;10;40.974831;100;100;1000
2;10;40.975198;100;100;1000
9;10;40.931196;100;100;1000
7;10;40.935199;100;100;1000
6;10;40.947503;100;100;1000
4;10;40.985709;100;100;1000
8;10;40.954222;100;100;1000
0;10;41.001822;100;100;1000
1;10;408.825415;100;100;10000
3;10;408.876385;100;100;10000
2;10;408.876705;100;100;10000
5;10;408.896800;100;100;10000
9;10;408.861554;100;100;10000
7;10;408.877608;100;100;10000
6;10;408.867924;100;100;10000
4;10;408.909947;100;100;10000
8;10;408.878970;100;100;10000
0;10;408.918286;100;100;10000
1;2;3.216321;1000;1000;100
0;2;3.279697;1000;1000;100
1;2;13.742764;1000;1000;1000
0;2;13.802512;1000;1000;1000
1;2;296.050153;1000;1000;10000
0;2;296.131268;1000;1000;10000
1;2;1321.025179;1000;1000;100000
0;2;1321.086374;1000;1000;100000
1;2;2.257340;100;100;100
0;2;2.265348;100;100;100
1;2;25.645439;100;100;1000
0;2;25.664156;100;100;1000
1;2;254.439747;100;100;10000
0;2;254.450257;100;100;10000
1;2;1004.567781;100;100;100000
0;2;1004.572155;100;100;100000
1;2;1.524228;2000;2000;100
0;2;1.751833;2000;2000;100
1;2;18.018262;2000;2000;1000
0;2;18.256587;2000;2000;1000
1;2;390.375664;2000;2000;10000
0;2;390.682163;2000;2000;10000
1;2;1769.704409;2000;2000;100000
0;2;1769.933321;2000;2000;100000
3;4;4.275552;1000;1000;100
1;4;4.284292;1000;1000;100
2;4;4.297605;1000;1000;100
0;4;4.387131;1000;1000;100
1;4;41.056408;1000;1000;1000
3;4;41.074156;1000;1000;1000
2;4;41.075060;1000;1000;1000
0;4;41.162546;1000;1000;1000
1;4;413.629485;1000;1000;10000
3;4;413.631366;1000;1000;10000
2;4;413.632419;1000;1000;10000
0;4;413.733525;1000;1000;10000
1;4;3183.538054;1000;1000;100000
3;4;3183.542869;1000;1000;100000
2;4;3183.543705;1000;1000;100000
0;4;3183.611950;1000;1000;100000
3;4;3.075504;100;100;100
1;4;3.078918;100;100;100
2;4;3.085148;100;100;100
0;4;3.090171;100;100;100
1;4;30.793575;100;100;1000
3;4;30.793413;100;100;1000
2;4;30.800347;100;100;1000
0;4;30.804490;100;100;1000
1;4;307.855456;100;100;10000
3;4;307.863453;100;100;10000
2;4;307.863782;100;100;10000
0;4;307.866536;100;100;10000
3;4;3081.428958;100;100;100000
2;4;3081.429013;100;100;100000
1;4;3081.429983;100;100;100000
0;4;3081.436200;100;100;100000
3;4;3.535333;2000;2000;100
1;4;3.545646;2000;2000;100
2;4;3.548502;2000;2000;100
0;4;3.805394;2000;2000;100
3;4;36.375947;2000;2000;1000
1;4;36.380199;2000;2000;1000
2;4;36.384544;2000;2000;1000
0;4;36.618069;2000;2000;1000
3;4;361.923150;2000;2000;10000
1;4;361.926600;2000;2000;10000
2;4;361.934029;2000;2000;10000
0;4;362.170274;2000;2000;10000
3;4;4598.718186;2000;2000;100000
1;4;4598.709309;2000;2000;100000
2;4;4598.718261;2000;2000;100000
0;4;4599.070011;2000;2000;100000
